,source,target,count
99,chr10_101725000_101730000,chr10_101765000_101770000,2425
100,chr10_101725000_101730000,chr10_101800000_101805000,14
101,chr10_101730000_101735000,chr10_101765000_101770000,4747
102,chr10_101730000_101735000,chr10_101800000_101805000,16
103,chr10_101730000_101735000,chr10_101805000_101810000,1721
104,chr10_101730000_101735000,chr10_101905000_101910000,16
105,chr10_101735000_101740000,chr10_101765000_101770000,3348
106,chr10_101735000_101740000,chr10_101800000_101805000,15
107,chr10_101740000_101745000,chr10_101760000_101765000,3033
108,chr10_101740000_101745000,chr10_101765000_101770000,5876
109,chr10_101740000_101745000,chr10_101800000_101805000,16
110,chr10_101740000_101745000,chr10_101905000_101910000,13
111,chr10_101745000_101750000,chr10_101765000_101770000,4878
112,chr10_101765000_101770000,chr10_101800000_101805000,3537
113,chr10_101765000_101770000,chr10_101805000_101810000,2230
114,chr10_101765000_101770000,chr10_101905000_101910000,25
115,chr10_101800000_101805000,chr10_101905000_101910000,17
116,chr10_101905000_101910000,chr10_101930000_101935000,24
117,chr10_101905000_101910000,chr10_101940000_101945000,24
118,chr10_101905000_101910000,chr10_101945000_101950000,2334
119,chr10_102090000_102095000,chr10_102270000_102275000,11
120,chr10_102095000_102100000,chr10_102190000_102195000,1911
121,chr10_102095000_102100000,chr10_102265000_102270000,11
122,chr10_102100000_102105000,chr10_102130000_102135000,1824
123,chr10_102100000_102105000,chr10_102190000_102195000,2125
124,chr10_102100000_102105000,chr10_102270000_102275000,11
125,chr10_102105000_102110000,chr10_102125000_102130000,30
126,chr10_102105000_102110000,chr10_102130000_102135000,2943
127,chr10_102105000_102110000,chr10_102135000_102140000,1618
128,chr10_102105000_102110000,chr10_102190000_102195000,1518
129,chr10_102110000_102115000,chr10_102130000_102135000,3236
130,chr10_102130000_102135000,chr10_102180000_102185000,16
131,chr10_102130000_102135000,chr10_102190000_102195000,19
132,chr10_102190000_102195000,chr10_102265000_102270000,1413
133,chr10_102195000_102200000,chr10_102265000_102270000,13
134,chr10_102800000_102805000,chr10_102820000_102825000,1625
135,chr10_102815000_102820000,chr10_102895000_102900000,11
136,chr10_102920000_102925000,chr10_102970000_102975000,15
137,chr10_102970000_102975000,chr10_103050000_103055000,12
138,chr10_103035000_103040000,chr10_103220000_103225000,11
139,chr10_103060000_103065000,chr10_103190000_103195000,11
140,chr10_103110000_103115000,chr10_103140000_103145000,1617
141,chr10_103125000_103130000,chr10_103155000_103160000,20
142,chr10_103125000_103130000,chr10_103160000_103165000,16
143,chr10_103595000_103600000,chr10_103765000_103770000,1011
144,chr10_103675000_103680000,chr10_103695000_103700000,19
145,chr10_103875000_103880000,chr10_103910000_103915000,19
146,chr10_103885000_103890000,chr10_103910000_103915000,22
147,chr10_103890000_103895000,chr10_103910000_103915000,3146
148,chr10_103890000_103895000,chr10_104150000_104155000,10
149,chr10_103910000_103915000,chr10_104100000_104105000,13
150,chr10_103910000_103915000,chr10_104150000_104155000,1013
151,chr10_103910000_103915000,chr10_104155000_104160000,11
152,chr10_103910000_103915000,chr10_104180000_104185000,10
153,chr10_103910000_103915000,chr10_104260000_104265000,12
154,chr10_103985000_103990000,chr10_104105000_104110000,1512
155,chr10_103985000_103990000,chr10_104110000_104115000,1410
156,chr10_103985000_103990000,chr10_104115000_104120000,10
157,chr10_103985000_103990000,chr10_104155000_104160000,12
158,chr10_103990000_103995000,chr10_104100000_104105000,1412
159,chr10_103990000_103995000,chr10_104105000_104110000,18
160,chr10_103995000_104000000,chr10_104080000_104085000,13
161,chr10_103995000_104000000,chr10_104095000_104100000,13
162,chr10_103995000_104000000,chr10_104100000_104105000,1929
163,chr10_103995000_104000000,chr10_104105000_104110000,2318
164,chr10_103995000_104000000,chr10_104110000_104115000,12
165,chr10_104000000_104005000,chr10_104100000_104105000,2326
166,chr10_104000000_104005000,chr10_104105000_104110000,1813
167,chr10_104005000_104010000,chr10_104035000_104040000,24
168,chr10_104005000_104010000,chr10_104040000_104045000,2230
169,chr10_104005000_104010000,chr10_104060000_104065000,15
170,chr10_104005000_104010000,chr10_104065000_104070000,16
171,chr10_104005000_104010000,chr10_104070000_104075000,19
172,chr10_104005000_104010000,chr10_104095000_104100000,1314
173,chr10_104005000_104010000,chr10_104100000_104105000,2430
174,chr10_104005000_104010000,chr10_104105000_104110000,2218
175,chr10_104005000_104010000,chr10_104110000_104115000,12
176,chr10_104005000_104010000,chr10_104115000_104120000,14
177,chr10_104005000_104010000,chr10_104155000_104160000,14
178,chr10_104030000_104035000,chr10_104100000_104105000,13
179,chr10_104035000_104040000,chr10_104100000_104105000,1620
180,chr10_104040000_104045000,chr10_104065000_104070000,26
181,chr10_104040000_104045000,chr10_104070000_104075000,23
182,chr10_104040000_104045000,chr10_104080000_104085000,22
183,chr10_104040000_104045000,chr10_104095000_104100000,15
184,chr10_104040000_104045000,chr10_104100000_104105000,2534
185,chr10_104045000_104050000,chr10_104100000_104105000,19
186,chr10_104055000_104060000,chr10_104100000_104105000,3127
187,chr10_104060000_104065000,chr10_104100000_104105000,1822
188,chr10_104065000_104070000,chr10_104100000_104105000,22
189,chr10_104070000_104075000,chr10_104095000_104100000,2221
190,chr10_104070000_104075000,chr10_104100000_104105000,2431
191,chr10_104075000_104080000,chr10_104100000_104105000,23
192,chr10_104080000_104085000,chr10_104100000_104105000,3631
193,chr10_104150000_104155000,chr10_104180000_104185000,1821
194,chr10_104150000_104155000,chr10_104260000_104265000,1220
195,chr10_104260000_104265000,chr10_104340000_104345000,12
196,chr10_104500000_104505000,chr10_104530000_104535000,28
197,chr10_104500000_104505000,chr10_104540000_104545000,18
198,chr10_104500000_104505000,chr10_104560000_104565000,15
199,chr10_104500000_104505000,chr10_104565000_104570000,15
200,chr10_104500000_104505000,chr10_104575000_104580000,12
201,chr10_104510000_104515000,chr10_104530000_104535000,31
202,chr10_104510000_104515000,chr10_104560000_104565000,16
203,chr10_104515000_104520000,chr10_104540000_104545000,18
204,chr10_104530000_104535000,chr10_104560000_104565000,3327
205,chr10_104535000_104540000,chr10_104560000_104565000,32
206,chr10_104675000_104680000,chr10_105000000_105005000,1013
207,chr10_104870000_104875000,chr10_104995000_105000000,11
208,chr10_104870000_104875000,chr10_105000000_105005000,1312
209,chr10_104875000_104880000,chr10_105000000_105005000,1615
210,chr10_104880000_104885000,chr10_105000000_105005000,1419
211,chr10_104890000_104895000,chr10_105000000_105005000,1712
212,chr10_104895000_104900000,chr10_105000000_105005000,13
213,chr10_104900000_104905000,chr10_105000000_105005000,15
214,chr10_104910000_104915000,chr10_105000000_105005000,34
215,chr10_104915000_104920000,chr10_105000000_105005000,3331
216,chr10_104925000_104930000,chr10_105000000_105005000,1932
217,chr10_104930000_104935000,chr10_105000000_105005000,20
218,chr10_104935000_104940000,chr10_104995000_105000000,16
219,chr10_104940000_104945000,chr10_105000000_105005000,2618
220,chr10_104945000_104950000,chr10_104990000_104995000,30
221,chr10_104945000_104950000,chr10_104995000_105000000,1820
222,chr10_104945000_104950000,chr10_105000000_105005000,2932
223,chr10_104950000_104955000,chr10_104990000_104995000,1824
224,chr10_104950000_104955000,chr10_104995000_105000000,21
225,chr10_104950000_104955000,chr10_105000000_105005000,2737
226,chr10_104955000_104960000,chr10_104985000_104990000,20
227,chr10_104955000_104960000,chr10_104990000_104995000,16
228,chr10_104955000_104960000,chr10_104995000_105000000,15
229,chr10_104955000_104960000,chr10_105000000_105005000,1824
230,chr10_104960000_104965000,chr10_105000000_105005000,20
231,chr10_105125000_105130000,chr10_105155000_105160000,18
232,chr10_105255000_105260000,chr10_105285000_105290000,19
233,chr10_105285000_105290000,chr10_105310000_105315000,20
234,chr10_105400000_105405000,chr10_105435000_105440000,21
235,chr10_105405000_105410000,chr10_105435000_105440000,25
236,chr10_105465000_105470000,chr10_105640000_105645000,13
237,chr10_105470000_105475000,chr10_105630000_105635000,14
238,chr10_105470000_105475000,chr10_105640000_105645000,20
239,chr10_105470000_105475000,chr10_105645000_105650000,10
240,chr10_105475000_105480000,chr10_105500000_105505000,25
241,chr10_105475000_105480000,chr10_105505000_105510000,25
242,chr10_105475000_105480000,chr10_105540000_105545000,16
243,chr10_105475000_105480000,chr10_105615000_105620000,16
244,chr10_105475000_105480000,chr10_105630000_105635000,22
245,chr10_105475000_105480000,chr10_105640000_105645000,1319
246,chr10_105475000_105480000,chr10_105645000_105650000,16
247,chr10_105490000_105495000,chr10_105525000_105530000,16
248,chr10_105500000_105505000,chr10_105610000_105615000,13
249,chr10_105500000_105505000,chr10_105630000_105635000,19
250,chr10_105505000_105510000,chr10_105530000_105535000,23
251,chr10_105505000_105510000,chr10_105620000_105625000,12
252,chr10_105505000_105510000,chr10_105630000_105635000,17
253,chr10_105505000_105510000,chr10_105640000_105645000,16
254,chr10_105510000_105515000,chr10_105630000_105635000,16
255,chr10_105515000_105520000,chr10_105540000_105545000,26
256,chr10_105515000_105520000,chr10_105630000_105635000,24
257,chr10_105515000_105520000,chr10_105640000_105645000,16
258,chr10_105525000_105530000,chr10_105630000_105635000,17
259,chr10_105540000_105545000,chr10_105605000_105610000,15
260,chr10_105540000_105545000,chr10_105610000_105615000,21
261,chr10_105540000_105545000,chr10_105615000_105620000,17
262,chr10_105540000_105545000,chr10_105620000_105625000,13
263,chr10_105540000_105545000,chr10_105630000_105635000,1221
264,chr10_105540000_105545000,chr10_105640000_105645000,22
265,chr10_105550000_105555000,chr10_105610000_105615000,19
266,chr10_105550000_105555000,chr10_105630000_105635000,18
267,chr10_105560000_105565000,chr10_105630000_105635000,20
268,chr10_105560000_105565000,chr10_105640000_105645000,1516
269,chr10_105580000_105585000,chr10_105610000_105615000,20
270,chr10_105605000_105610000,chr10_105640000_105645000,22
271,chr10_105610000_105615000,chr10_105640000_105645000,30
272,chr10_105610000_105615000,chr10_105645000_105650000,23
273,chr10_105615000_105620000,chr10_105640000_105645000,2034
274,chr10_105620000_105625000,chr10_105640000_105645000,3145
275,chr10_105640000_105645000,chr10_105725000_105730000,17
276,chr10_105640000_105645000,chr10_105840000_105845000,13
277,chr10_105645000_105650000,chr10_105725000_105730000,34
278,chr10_105645000_105650000,chr10_105790000_105795000,11
279,chr10_105650000_105655000,chr10_105670000_105675000,2933
280,chr10_105650000_105655000,chr10_105675000_105680000,2542
281,chr10_105650000_105655000,chr10_105695000_105700000,18
282,chr10_105650000_105655000,chr10_105700000_105705000,2021
283,chr10_105650000_105655000,chr10_105715000_105720000,21
284,chr10_105650000_105655000,chr10_105720000_105725000,23
285,chr10_105650000_105655000,chr10_105725000_105730000,3538
286,chr10_105650000_105655000,chr10_105730000_105735000,1719
287,chr10_105650000_105655000,chr10_105735000_105740000,1718
288,chr10_105650000_105655000,chr10_105750000_105755000,13
289,chr10_105650000_105655000,chr10_105760000_105765000,13
290,chr10_105650000_105655000,chr10_105780000_105785000,14
291,chr10_105655000_105660000,chr10_105725000_105730000,19
292,chr10_105655000_105660000,chr10_105730000_105735000,16
293,chr10_105675000_105680000,chr10_105700000_105705000,2824
294,chr10_105675000_105680000,chr10_105725000_105730000,2032
295,chr10_105675000_105680000,chr10_105750000_105755000,15
296,chr10_105695000_105700000,chr10_105725000_105730000,24
297,chr10_105725000_105730000,chr10_105875000_105880000,14
298,chr10_105810000_105815000,chr10_105880000_105885000,1416
299,chr10_105820000_105825000,chr10_105880000_105885000,14
300,chr10_105825000_105830000,chr10_105880000_105885000,16
301,chr10_105830000_105835000,chr10_105880000_105885000,24
302,chr10_105835000_105840000,chr10_105875000_105880000,21
303,chr10_105835000_105840000,chr10_105880000_105885000,27
304,chr10_105840000_105845000,chr10_105870000_105875000,20
305,chr10_105840000_105845000,chr10_105875000_105880000,74102
306,chr10_105840000_105845000,chr10_105880000_105885000,7885
307,chr10_105840000_105845000,chr10_105885000_105890000,2222
308,chr10_105845000_105850000,chr10_105870000_105875000,27
309,chr10_105845000_105850000,chr10_105875000_105880000,83105
310,chr10_105845000_105850000,chr10_105880000_105885000,5970
311,chr10_105850000_105855000,chr10_105875000_105880000,5669
312,chr10_105850000_105855000,chr10_105880000_105885000,2633
313,chr10_105855000_105860000,chr10_105875000_105880000,3344
314,chr10_105860000_105865000,chr10_105880000_105885000,2025
315,chr10_106030000_106035000,chr10_106110000_106115000,12
316,chr10_106040000_106045000,chr10_106105000_106110000,13
317,chr10_106045000_106050000,chr10_106105000_106110000,1923
318,chr10_106050000_106055000,chr10_106105000_106110000,3127
319,chr10_106050000_106055000,chr10_106110000_106115000,1216
320,chr10_106055000_106060000,chr10_106105000_106110000,16
321,chr10_106060000_106065000,chr10_106095000_106100000,16
322,chr10_106060000_106065000,chr10_106100000_106105000,17
323,chr10_106060000_106065000,chr10_106105000_106110000,2625
324,chr10_106060000_106065000,chr10_106110000_106115000,16
325,chr10_106065000_106070000,chr10_106105000_106110000,19
326,chr10_106070000_106075000,chr10_106105000_106110000,1821
327,chr10_106075000_106080000,chr10_106095000_106100000,27
328,chr10_106080000_106085000,chr10_106105000_106110000,2227
329,chr10_106085000_106090000,chr10_106105000_106110000,3054
330,chr10_106085000_106090000,chr10_106110000_106115000,2135
331,chr10_106830000_106835000,chr10_106905000_106910000,14
332,chr10_106895000_106900000,chr10_106955000_106960000,13
333,chr10_106905000_106910000,chr10_106940000_106945000,2018
334,chr10_106905000_106910000,chr10_106945000_106950000,1616
335,chr10_106905000_106910000,chr10_106950000_106955000,15
336,chr10_106905000_106910000,chr10_106955000_106960000,2236
337,chr10_10720000_10725000,chr10_11075000_11080000,12
338,chr10_108155000_108160000,chr10_108260000_108265000,12
339,chr10_108195000_108200000,chr10_108260000_108265000,23
340,chr10_10825000_10830000,chr10_10845000_10850000,29
341,chr10_10825000_10830000,chr10_10870000_10875000,22
342,chr10_10825000_10830000,chr10_11060000_11065000,14
343,chr10_10825000_10830000,chr10_11075000_11080000,1711
344,chr10_10830000_10835000,chr10_10870000_10875000,25
345,chr10_108330000_108335000,chr10_108365000_108370000,16
346,chr10_108335000_108340000,chr10_108365000_108370000,22
347,chr10_10835000_10840000,chr10_10865000_10870000,2528
348,chr10_10835000_10840000,chr10_10870000_10875000,1924
349,chr10_10835000_10840000,chr10_11060000_11065000,10
350,chr10_10835000_10840000,chr10_11075000_11080000,1324
351,chr10_10840000_10845000,chr10_10870000_10875000,23
352,chr10_10845000_10850000,chr10_10865000_10870000,3239
353,chr10_10845000_10850000,chr10_10870000_10875000,2769
354,chr10_10845000_10850000,chr10_11075000_11080000,16
355,chr10_10850000_10855000,chr10_10870000_10875000,46
356,chr10_10865000_10870000,chr10_11075000_11080000,1211
357,chr10_10870000_10875000,chr10_11075000_11080000,1513
358,chr10_109305000_109310000,chr10_109370000_109375000,17
359,chr10_10935000_10940000,chr10_11075000_11080000,11
360,chr10_109730000_109735000,chr10_109810000_109815000,12
361,chr10_111645000_111650000,chr10_111670000_111675000,3741
362,chr10_111645000_111650000,chr10_111675000_111680000,37
363,chr10_111645000_111650000,chr10_111680000_111685000,4126
364,chr10_111645000_111650000,chr10_111755000_111760000,13
365,chr10_111645000_111650000,chr10_111835000_111840000,11
366,chr10_111650000_111655000,chr10_111670000_111675000,3862
367,chr10_111650000_111655000,chr10_111675000_111680000,34
368,chr10_111650000_111655000,chr10_111680000_111685000,4324
369,chr10_111650000_111655000,chr10_111735000_111740000,13
370,chr10_111650000_111655000,chr10_111840000_111845000,11
371,chr10_111670000_111675000,chr10_111760000_111765000,17
372,chr10_111670000_111675000,chr10_111835000_111840000,12
373,chr10_111680000_111685000,chr10_111970000_111975000,1110
374,chr10_111895000_111900000,chr10_111970000_111975000,13
375,chr10_111895000_111900000,chr10_111980000_111985000,1211
376,chr10_111895000_111900000,chr10_112030000_112035000,10
377,chr10_111895000_111900000,chr10_112035000_112040000,9
378,chr10_111895000_111900000,chr10_112040000_112045000,14
379,chr10_112060000_112065000,chr10_112300000_112305000,12
380,chr10_112060000_112065000,chr10_112350000_112355000,13
381,chr10_112065000_112070000,chr10_112110000_112115000,18
382,chr10_112065000_112070000,chr10_112255000_112260000,11
383,chr10_112065000_112070000,chr10_112260000_112265000,11
384,chr10_112065000_112070000,chr10_112295000_112300000,11
385,chr10_112065000_112070000,chr10_112300000_112305000,1014
386,chr10_112065000_112070000,chr10_112305000_112310000,10
387,chr10_112065000_112070000,chr10_112320000_112325000,9
388,chr10_112065000_112070000,chr10_112355000_112360000,11
389,chr10_112065000_112070000,chr10_112365000_112370000,10
390,chr10_112070000_112075000,chr10_112110000_112115000,4219
391,chr10_112070000_112075000,chr10_112155000_112160000,25
392,chr10_112070000_112075000,chr10_112255000_112260000,1111
393,chr10_112070000_112075000,chr10_112260000_112265000,1510
394,chr10_112070000_112075000,chr10_112295000_112300000,11
395,chr10_112070000_112075000,chr10_112300000_112305000,13
396,chr10_112070000_112075000,chr10_112305000_112310000,13
397,chr10_112070000_112075000,chr10_112310000_112315000,12
398,chr10_112070000_112075000,chr10_112365000_112370000,9
399,chr10_112075000_112080000,chr10_112110000_112115000,20
400,chr10_112080000_112085000,chr10_112110000_112115000,7133
401,chr10_112080000_112085000,chr10_112115000_112120000,23
402,chr10_112080000_112085000,chr10_112155000_112160000,25
403,chr10_112080000_112085000,chr10_112255000_112260000,17
404,chr10_112080000_112085000,chr10_112260000_112265000,11
405,chr10_112080000_112085000,chr10_112290000_112295000,1010
406,chr10_112080000_112085000,chr10_112300000_112305000,11
407,chr10_112085000_112090000,chr10_112110000_112115000,58
408,chr10_112085000_112090000,chr10_112155000_112160000,29
409,chr10_112085000_112090000,chr10_112255000_112260000,2013
410,chr10_112085000_112090000,chr10_112260000_112265000,12
411,chr10_112085000_112090000,chr10_112295000_112300000,10
412,chr10_112085000_112090000,chr10_112310000_112315000,10
413,chr10_112085000_112090000,chr10_112325000_112330000,10
414,chr10_112090000_112095000,chr10_112110000_112115000,33
415,chr10_112095000_112100000,chr10_112295000_112300000,10
416,chr10_112110000_112115000,chr10_112130000_112135000,63
417,chr10_112110000_112115000,chr10_112150000_112155000,32
418,chr10_112110000_112115000,chr10_112155000_112160000,13396
419,chr10_112110000_112115000,chr10_112160000_112165000,2835
420,chr10_112110000_112115000,chr10_112165000_112170000,2846
421,chr10_112110000_112115000,chr10_112170000_112175000,6454
422,chr10_112110000_112115000,chr10_112175000_112180000,3232
423,chr10_112110000_112115000,chr10_112180000_112185000,2122
424,chr10_112110000_112115000,chr10_112190000_112195000,21
425,chr10_112110000_112115000,chr10_112205000_112210000,1918
426,chr10_112110000_112115000,chr10_112215000_112220000,16
427,chr10_112110000_112115000,chr10_112225000_112230000,14
428,chr10_112110000_112115000,chr10_112230000_112235000,15
429,chr10_112110000_112115000,chr10_112235000_112240000,12
430,chr10_112110000_112115000,chr10_112240000_112245000,22
431,chr10_112110000_112115000,chr10_112245000_112250000,1219
432,chr10_112110000_112115000,chr10_112250000_112255000,2124
433,chr10_112110000_112115000,chr10_112255000_112260000,4956
434,chr10_112110000_112115000,chr10_112260000_112265000,3348
435,chr10_112110000_112115000,chr10_112265000_112270000,1519
436,chr10_112110000_112115000,chr10_112270000_112275000,20
437,chr10_112110000_112115000,chr10_112275000_112280000,14
438,chr10_112110000_112115000,chr10_112280000_112285000,11
439,chr10_112110000_112115000,chr10_112285000_112290000,1314
440,chr10_112110000_112115000,chr10_112290000_112295000,22
441,chr10_112110000_112115000,chr10_112295000_112300000,1620
442,chr10_112110000_112115000,chr10_112300000_112305000,15
443,chr10_112110000_112115000,chr10_112305000_112310000,1314
444,chr10_112110000_112115000,chr10_112310000_112315000,12
445,chr10_112110000_112115000,chr10_112325000_112330000,11
446,chr10_112115000_112120000,chr10_112140000_112145000,23
447,chr10_112115000_112120000,chr10_112155000_112160000,7449
448,chr10_112115000_112120000,chr10_112160000_112165000,18
449,chr10_112115000_112120000,chr10_112165000_112170000,2618
450,chr10_112115000_112120000,chr10_112170000_112175000,2934
451,chr10_112115000_112120000,chr10_112255000_112260000,2928
452,chr10_112115000_112120000,chr10_112260000_112265000,21
453,chr10_112115000_112120000,chr10_112265000_112270000,13
454,chr10_112115000_112120000,chr10_112305000_112310000,12
455,chr10_112120000_112125000,chr10_112150000_112155000,19
456,chr10_112120000_112125000,chr10_112155000_112160000,4631
457,chr10_112120000_112125000,chr10_112170000_112175000,22
458,chr10_112125000_112130000,chr10_112155000_112160000,3121
459,chr10_112125000_112130000,chr10_112260000_112265000,11
460,chr10_112130000_112135000,chr10_112150000_112155000,26
461,chr10_112130000_112135000,chr10_112155000_112160000,7536
462,chr10_112130000_112135000,chr10_112250000_112255000,12
463,chr10_112130000_112135000,chr10_112255000_112260000,1618
464,chr10_112155000_112160000,chr10_112180000_112185000,34
465,chr10_112155000_112160000,chr10_112240000_112245000,18
466,chr10_112155000_112160000,chr10_112245000_112250000,20
467,chr10_112155000_112160000,chr10_112250000_112255000,1520
468,chr10_112155000_112160000,chr10_112255000_112260000,3948
469,chr10_112155000_112160000,chr10_112260000_112265000,3127
470,chr10_112155000_112160000,chr10_112265000_112270000,12
471,chr10_112155000_112160000,chr10_112290000_112295000,16
472,chr10_112155000_112160000,chr10_112300000_112305000,14
473,chr10_112160000_112165000,chr10_112255000_112260000,16
474,chr10_112165000_112170000,chr10_112255000_112260000,21
475,chr10_112165000_112170000,chr10_112260000_112265000,1415
476,chr10_112170000_112175000,chr10_112245000_112250000,14
477,chr10_112170000_112175000,chr10_112250000_112255000,20
478,chr10_112170000_112175000,chr10_112255000_112260000,2031
479,chr10_112170000_112175000,chr10_112260000_112265000,17
480,chr10_112175000_112180000,chr10_112260000_112265000,16
481,chr10_112180000_112185000,chr10_112240000_112245000,15
482,chr10_112180000_112185000,chr10_112255000_112260000,1920
483,chr10_112260000_112265000,chr10_112290000_112295000,23
484,chr10_112385000_112390000,chr10_112425000_112430000,16
485,chr10_112530000_112535000,chr10_112620000_112625000,18
486,chr10_112560000_112565000,chr10_112620000_112625000,18
487,chr10_112585000_112590000,chr10_112620000_112625000,28
488,chr10_112585000_112590000,chr10_112630000_112635000,16
489,chr10_112610000_112615000,chr10_112635000_112640000,21
490,chr10_114710000_114715000,chr10_114850000_114855000,17
491,chr10_114720000_114725000,chr10_114745000_114750000,20
492,chr10_114725000_114730000,chr10_114850000_114855000,13
